VehListdays,VehMileage,Dealer_Listing_Price,VehYear,ListingID,VehEngine,SellerListSrc,SellerState,VehFuel,VehColorExt,VehColorInt,VehTransmission,VehPriceLabel,VehDriveTrain,Vehicle_Trim,VehMake,VehModel,RatingCategory,SellerCategory,SellerIsPriv,SourceCategory,VehCertified
4.945428241,34437.0,29996.0,2017,17982,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IL,Gasoline,Blue,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
39.52231481,15285.0,36895.0,2018,20984,3.6L V6,Inventory Command Center,IL,Gasoline,Silver,black,Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Low Rating,Medium Volume Sellers,False,High-Frequency Sources,False
5.682476852,21098.0,35830.0,2018,21448,3.6L V6,HomeNet Automotive,LA,Gasoline,Other,black,8-Speed Automatic,Good Deal,FWD,Premium Luxury,Cadillac,XT5,Average Rating,High Volume Sellers,False,High-Frequency Sources,False
6.737384259,3547.0,45988.0,2019,21807,3.6L V6,HomeNet Automotive,FL,Gasoline,White,other,8-Speed Automatic,Good Deal,FWD,Luxury,Cadillac,XT5,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,True
14.95806713,14751.0,38376.0,2018,25753,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),NY,Gasoline,Silver,black,8-Speed Automatic,Fair Price,4WD,Limited,Jeep,Grand Cherokee,Good Rating,Medium Volume Sellers,False,High-Frequency Sources,False
146.7290509,13354.0,32990.0,2018,26678,3.6L V6,HomeNet Automotive,IL,Gasoline,White,other,8-Speed Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
11.78684028,12146.0,32998.0,2017,30524,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),TX,Gasoline,White,tan,8-Speed Automatic,Good Deal,FWD,Base,Cadillac,XT5,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
10.94025463,43231.0,22877.0,2015,31932,3.6L V6,HomeNet Automotive,TN,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
2.961574074,22782.0,41981.0,2018,32654,unknown,Jeep Certified Program,TN,Gasoline,Gray,unknown,Automatic,Fair Price,unknown,unknown,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,Medium-Frequency Sources,True
25.89943287,28293.0,34782.0,2018,34061,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),TX,Gasoline,Other,other,8-Speed Automatic,Good Deal,FWD,Premium Luxury,Cadillac,XT5,Good Rating,Low Volume Sellers,False,High-Frequency Sources,False
38.11453704,25410.0,36500.0,2018,34857,3.6L V6,Inventory Command Center,OH,Gasoline,Red,black,8-Speed Automatic,Good Deal,AWD,Luxury,Cadillac,XT5,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
26.82459491,46196.0,26072.0,2017,35091,3.6L V6,HomeNet Automotive,TN,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
117.8453935,30726.0,19997.0,2015,35785,3.6L V6,Digital Motorworks (DMi),VA,E85 Flex Fuel,Red,unknown,8-Speed Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
18.92076389,35990.0,31750.0,2015,38149,5.7L V8,Digital Motorworks (DMi),MI,Gasoline,Other,other,8-Speed Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
73.76600694,12912.0,31992.0,2017,38723,3.6L V6,Inventory Command Center,MI,Gasoline,Red,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
24.96532407,39544.0,24999.0,2015,38741,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),NY,Gasoline,Black,other,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Low Rating,Rare Sellers,False,High-Frequency Sources,False
7.840173611,31486.0,30998.0,2015,39482,3.6L V6,Digital Motorworks (DMi),IN,E85 Flex Fuel,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Medium Volume Sellers,False,High-Frequency Sources,False
33.93821759,12247.0,39259.0,2018,40513,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),MO,Gasoline,Silver,black,8-Speed Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
10.80892361,30431.0,35000.0,2016,41457,V8,Jeep Certified Program,NC,Gasoline,Black,black,8-Speed Automatic,Fair Price,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,Medium-Frequency Sources,True
33.70493056,26421.0,27750.0,2017,41832,3.6L V6,HomeNet Automotive,OH,Gasoline,Black,beige,8-Speed Automatic,Great Deal,FWD,FWD,Cadillac,XT5,Good Rating,Low Volume Sellers,False,High-Frequency Sources,False
10.84138889,28241.0,25998.0,2015,44174,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),MD,Gasoline,Gray,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Medium Volume Sellers,False,High-Frequency Sources,False
136.886713,29185.0,26988.0,2015,45943,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IA,Gasoline,Black,other,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
42.2281713,24564.0,39995.0,2018,48367,3.6L V6,HomeNet Automotive,FL,Gasoline,Black,black,8-Speed Automatic,Good Deal,FWD,Premium Luxury,Cadillac,XT5,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,True
6.484328704,12751.0,33990.0,2018,48991,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),WI,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
24.31197917,31864.0,25997.0,2017,49159,3.6L V6,Inventory Command Center,WI,Gasoline,Blue,black,Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
157.8505903,7464.0,35588.0,2018,52528,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),TX,Gasoline,White,other,8-Speed Automatic,Good Deal,FWD,Base,Cadillac,XT5,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,True
5.498449074,17529.0,31490.0,2018,53047,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IN,Gasoline,Blue,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
111.3855208,7501.0,26495.0,2017,56883,3.6L,Inventory Command Center,UT,Gasoline,Black,tan,Automatic,Great Deal,FWD,Base,Cadillac,XT5,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
49.6650463,12923.0,25500.0,2016,59742,V6,Jeep Certified Program,OH,Gasoline,Black,black,8-Speed Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,Medium-Frequency Sources,True
34.57913194,37151.0,28130.0,2015,60234,3.6L V6,HomeNet Automotive,PA,Gasoline,Other,black,8-Speed Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Average Rating,High Volume Sellers,False,High-Frequency Sources,False
313.9438426,31793.0,38997.0,2017,60529,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),OK,Gasoline,Silver,black,8-Speed Automatic,Good Deal,AWD,Luxury,Cadillac,XT5,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
123.4846644,10893.0,33373.0,2017,62787,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),WI,Gasoline,White,unknown,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
20.07960648,22195.0,41600.0,2018,64227,V6,Inventory Command Center,TN,Gasoline,White,black,8-Speed Automatic,Fair Price,4WD,Premium Luxury,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
119.4410764,40801.0,25710.0,2015,65060,3.6L V6,Inventory Command Center,WI,Gasoline,Other,gray,8-Speed Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Medium Volume Sellers,False,High-Frequency Sources,False
89.96409722,21093.0,31988.0,2017,65921,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),WI,Gasoline,Brown,other,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
13.47663194,40277.0,29560.0,2015,69242,3.6L V6,HomeNet Automotive,IL,Gasoline,Other,other,8-Speed Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Average Rating,High Volume Sellers,False,High-Frequency Sources,False
21.48415509,49149.0,27060.0,2017,70200,3.6L V6,HomeNet Automotive,GA,Gasoline,Other,black,8-Speed Automatic,Fair Price,4WD,Limited,Jeep,Grand Cherokee,Good Rating,High Volume Sellers,False,High-Frequency Sources,False
137.5025463,24118.0,29740.0,2017,71395,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),KY,Gasoline,Black,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
13.96927083,38625.0,25291.0,2015,71551,3.6L V6,HomeNet Automotive,MD,Gasoline,Other,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Medium Volume Sellers,False,High-Frequency Sources,False
138.7121644,40084.0,24900.0,2015,72601,3.6L V6,Inventory Command Center,PA,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Low Volume Sellers,False,High-Frequency Sources,False
77.31043981,17536.0,35280.0,2018,73390,3.6L V6,HomeNet Automotive,FL,Gasoline,Other,black,8-Speed Automatic,Good Deal,FWD,Premium Luxury,Cadillac,XT5,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
29.83703704,33690.0,27999.0,2017,75971,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),PA,Gasoline,Other,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
3.490243056,22832.0,23890.0,2015,79756,3.6L V6,Digital Motorworks (DMi),NC,E85 Flex Fuel,Other,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
24.94475694,33559.0,26000.0,2015,83836,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),VA,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
178.0091319,34609.0,24000.0,2017,84352,3.6L V6,My Dealer Center,IN,Unknown,Other,black,Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Low Rating,Rare Sellers,False,Other Sources,False
227.7698264,30624.0,27190.0,2015,86662,V6,Inventory Command Center,PA,Gasoline,White,black,Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Low Rating,Low Volume Sellers,False,High-Frequency Sources,False
19.48111111,40591.0,23988.0,2016,87178,3.6L V6,Inventory Command Center,GA,Gasoline,White,beige,Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Medium Volume Sellers,False,High-Frequency Sources,False
20.42173611,48880.0,26730.0,2015,87292,3.6L V6,HomeNet Automotive,IL,Gasoline,Silver,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,High Volume Sellers,False,High-Frequency Sources,False
74.52465278,32117.0,25999.0,2015,88288,3.6L V6,Inventory Command Center,PA,Gasoline,White,black,Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Low Rating,Rare Sellers,False,High-Frequency Sources,False
34.21101852,34939.0,34489.0,2017,90636,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),CO,Gasoline,White,other,8-Speed Automatic,Great Deal,AWD,Luxury,Cadillac,XT5,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,True
95.77134259,12589.0,31992.0,2017,90916,3.6L V6,Inventory Command Center,MI,Gasoline,Black,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
48.53203704,23757.0,37988.0,2017,92151,5.7L V8,HomeNet Automotive,MN,Gasoline,White,other,8-Speed Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Average Rating,High Volume Sellers,False,High-Frequency Sources,False
21.17585648,36062.0,24500.0,2016,93043,3.6L V6,Inventory Command Center,IL,Gasoline,Black,black,8-Speed Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Medium Volume Sellers,False,High-Frequency Sources,False
25.44555556,31591.0,27930.0,2017,93351,3.6L V6,HomeNet Automotive,IL,Gasoline,Other,other,8-Speed Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Good Rating,High Volume Sellers,False,High-Frequency Sources,False
13.9255787,6777.0,24500.0,2016,94318,3.6L V6,Inventory Command Center,NY,Gasoline,Black,black,Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
90.75177083,27533.0,28850.0,2015,94961,3.6L V6,HomeNet Automotive,IL,Gasoline,Black,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
6.475868056,35170.0,34988.0,2016,97749,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IN,Gasoline,Black,other,8-Speed Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
75.78121528,36045.0,27986.0,2017,99637,3.6L V6,HomeNet Automotive,WV,Gasoline,Black,black,8-Speed Automatic,Fair Price,4WD,Limited,Jeep,Grand Cherokee,Good Rating,Low Volume Sellers,False,High-Frequency Sources,False
42.84938657,21965.0,39493.0,2018,100398,3.6L V6 24V MPFI DOHC,Jeep Certified Program,IL,Gasoline,Silver,black,8-Speed Automatic,Fair Price,4WD,Premium Luxury,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,Medium-Frequency Sources,True
5.578576389,9715.0,26924.0,2017,101646,3.6L V6,Inventory Command Center,OH,Gasoline,Black,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
34.48302083,33582.0,22999.0,2015,102212,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IL,Gasoline,Black,other,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
16.43116898,31468.0,36888.0,2017,105013,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),TX,Gasoline,Red,black,8-Speed Automatic,Fair Price,FWD,Premium Luxury,Cadillac,XT5,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,True
3.191342593,28476.0,26991.0,2016,105163,3.6L V6,Inventory Command Center,MO,E85 Flex Fuel,White,unknown,Other,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Low Rating,Low Volume Sellers,False,High-Frequency Sources,False
98.77287037,36599.0,27950.0,2015,105329,3.6L V6,Inventory Command Center,MI,Gasoline,Red,beige,8-Speed Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
5.493923611,5448.0,57900.0,2018,107670,6.4L V8,Digital Motorworks (DMi),MI,Gasoline,White,black,8-Speed Automatic,Fair Price,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Low Volume Sellers,False,High-Frequency Sources,False
88.36853009,17758.0,30990.0,2017,109732,5.7L V8,HomeNet Automotive,IL,Gasoline,Silver,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
1.967800926,48028.0,24900.0,2017,111150,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IL,Gasoline,Gray,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
9.983680556,17731.0,31400.0,2017,112098,3.6L V6 24V MPFI DOHC,Jeep Certified Program,MI,Gasoline,Black,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Low Rating,Medium Volume Sellers,False,Medium-Frequency Sources,True
68.74991898,20748.0,36995.0,2017,113158,3.6L V6,HomeNet Automotive,NY,Gasoline,Silver,black,8-Speed Automatic,Good Deal,AWD,Luxury,Cadillac,XT5,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,True
130.8440394,29883.0,35989.0,2017,115461,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),CO,Gasoline,Other,black,8-Speed Automatic,Great Deal,AWD,Premium Luxury,Cadillac,XT5,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
13.99174769,45320.0,24465.0,2015,116481,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),MI,Gasoline,Black,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Good Rating,Medium Volume Sellers,False,High-Frequency Sources,False
76.64672454,45749.0,31675.0,2017,117449,3.6L V6,Inventory Command Center,MO,Gasoline,Black,black,8-Speed Automatic,Fair Price,unknown,Limited,Jeep,Grand Cherokee,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
27.9612963,5000.0,40185.0,2018,120686,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IL,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Good Rating,Low Volume Sellers,False,High-Frequency Sources,False
20.91561343,29686.0,42921.0,2017,121396,3.6L V6,Cadillac Certified Program,TN,Gasoline,Silver,unknown,8-Speed Automatic,Good Deal,FWD,unknown,Cadillac,XT5,Good Rating,Low Volume Sellers,False,Medium-Frequency Sources,True
80.77016204,25584.0,27995.0,2017,122147,3.6L V6,Inventory Command Center,MI,Gasoline,Other,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
12.47306713,26144.0,30975.0,2016,122177,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),PA,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
290.4383796,16647.0,39000.0,2018,122714,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),NC,Gasoline,Silver,unknown,8-Speed Automatic,Good Deal,FWD,Premium Luxury,Cadillac,XT5,Average Rating,Low Volume Sellers,False,High-Frequency Sources,True
112.4778472,31243.0,27000.0,2016,122843,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),MI,Gasoline,Other,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Low Volume Sellers,False,High-Frequency Sources,False
18.32291667,22625.0,35000.0,2018,126340,3.6L V6 24V MPFI DOHC,Jeep Certified Program,GA,Gasoline,Silver,unknown,8-Speed Automatic,Good Deal,4WD,Trailhawk,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,Medium-Frequency Sources,True
5.682858796,31719.0,34995.0,2018,129295,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),FL,Gasoline,Black,other,8-Speed Automatic,Good Deal,FWD,Premium Luxury,Cadillac,XT5,Good Rating,Low Volume Sellers,False,High-Frequency Sources,False
12.94819444,33338.0,25500.0,2015,130922,3.6L V6 24V MPFI DOHC,Jeep Certified Program,IN,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Rare Sellers,False,Medium-Frequency Sources,True
35.62171296,37151.0,28130.0,2015,131376,3.6L V6,HomeNet Automotive,VA,Gasoline,Other,black,8-Speed Automatic,Good Deal,4WD,Premium Luxury,Jeep,Grand Cherokee,Average Rating,High Volume Sellers,False,High-Frequency Sources,False
39.90903935,24241.0,32444.0,2017,132198,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),TX,Gasoline,Blue,other,8-Speed Automatic,Good Deal,FWD,Luxury,Cadillac,XT5,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,True
78.90797454,19146.0,32000.0,2017,137217,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),KS,Gasoline,Red,other,8-Speed Automatic,Good Deal,FWD,Luxury,Cadillac,XT5,Average Rating,Low Volume Sellers,False,High-Frequency Sources,False
105.685544,32107.0,34988.0,2017,137375,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),CO,Gasoline,Blue,other,8-Speed Automatic,Good Deal,AWD,Premium Luxury,Cadillac,XT5,Good Rating,Rare Sellers,False,High-Frequency Sources,False
66.95341435,38944.0,23000.0,2017,138998,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IL,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
174.7944907,8249.0,37897.0,2018,140325,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),NJ,Gasoline,Black,black,8-Speed Automatic,Good Deal,FWD,Premium Luxury,Cadillac,XT5,Low Rating,Low Volume Sellers,False,High-Frequency Sources,False
81.31501157,25950.0,31765.0,2017,140339,3.6L V6,Inventory Command Center,OH,Gasoline,Blue,other,Automatic,Fair Price,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Medium Volume Sellers,False,High-Frequency Sources,False
16.42640046,32085.0,33990.0,2017,142463,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),NC,Gasoline,Black,black,8-Speed Automatic,Good Deal,AWD,Luxury,Cadillac,XT5,Good Rating,Rare Sellers,False,High-Frequency Sources,False
40.89752315,5022.0,44995.0,2019,144569,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),OH,Gasoline,Black,black,8-Speed Automatic,Good Deal,FWD,Luxury,Cadillac,XT5,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
54.65225694,15194.0,34788.0,2018,148593,3.6L V6,HomeNet Automotive,GA,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
61.99986111,42213.0,24968.0,2015,150473,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),OH,Gasoline,Other,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Low Rating,Low Volume Sellers,False,High-Frequency Sources,False
81.42707176,16930.0,47000.0,2017,152395,3.6L V6 24V GDI DOHC,Digital Motorworks (DMi),TX,Gasoline,Red,other,8-Speed Automatic,Good Deal,AWD,Platinum,Cadillac,XT5,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
68.98590278,27676.0,31995.0,2015,154160,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),VA,Gasoline,Red,other,8-Speed Automatic,Fair Price,4WD,Premium Luxury,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,High-Frequency Sources,False
109.5681713,10688.0,31988.0,2017,154194,3.6L V6,HomeNet Automotive,MN,Gasoline,Black,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,High Volume Sellers,False,High-Frequency Sources,False
